Nome          |   Type   | Category | Base Damage | Accuracy | Effect
Amnesia | Psychic | Status |            |          | Buff(SpD,+2,100)

Kinesis | Psychic | Status |            | 80       | Buff(Acc,-1,100)

Soft Boiled | Normal | Status |            |          | Recover(50)

High Jump Kick | Fighting | Physical | 130        | 90       | Crash

Glare | Normal | Status |            | 100      | Paralyze(100)

Dream Eater | Psychic | Special | 100        | 100      | Only works on sleeping Pokémon. Drains half the damage inflicted to heal the

Poison Gas | Poison | Status |            | 90       | Poison(100)

Barrage | Normal | Physical | 15         | 85       | MultiHit(2-5)

Leech Life | Bug | Physical | 80         | 100      | Drain(50)

Lovely Kiss | Normal | Status |            | 75       | Sleep(100)

Sky Attack | Flying | Physical | 140        | 90       | Charge->flinch(30)

Bubble | Water | Special | 40         | 100      | Buff(Spe,-1,10)

Dizzy Punch | Normal | Physical | 70         | 100      | Confuse(10)

Spore | Grass | Status |            | 100      | Sleep(100)

Flash | Normal | Status |            | 100      | Buff(Acc,-1,100)

Psywave | Psychic | Special |            | 100      | Psywave

Splash | Normal | Status |            |          | None

Acid Armor | Poison | Status |            |          | Buff(Def,+2,100)

Crabhammer | Water | Physical | 100        | 90       | high_crit

Explosion | Normal | Physical | 250        | 100      | Kill

Fury Swipes | Normal | Physical | 18         | 80       | MultiHit(2-5)

Bonemerang | Ground | Physical | 50         | 90       | Hit(2)

Rest | Psychic | Status |            |          | Recover(100) -> Rest

Rock Slide | Rock | Physical | 75         | 90       | Flinch(30)

Hyper Fang | Normal | Physical | 80         | 90       | Flinch(10)

Sharpen | Normal | Status |            |          | Buff(Atk,+1,100)

Tri Attack | Normal | Special | 80         | 100      | Paralyze(20)->Freeze(20)->Burn(20)

Super Fang | Normal | Physical |            | 90       | SuperFang

Slash | Normal | Physical | 70         | 100      | high_crit

Struggle | Normal | Physical | 50         |          | Recoil(25)
